"MATCH_ID","SEASON_ID","SEASON_MATCH","PLAY_OFF_ID","DATE_ID","REFEREE_ID","TV_UMPIRE_ID","UMPIRE_ID1","UMPIRE_ID2","TEAM_A_ID","TEAM_B_ID","VENUE_ID","MATCH_TYPE_ID","TOTAL_OVERS","BALLS_PER_OVER","OVERS_PLAYED_BY_TEAM_A","BOWLS_PLAYED_BY_TEAM_A","EXTRA_BOWLS_PLAYED_BY_TEAM_A","EXTRA_RUNS_SCORED_BY_TEAM_A","FOURS_BY_TEAM_A","SIXES_BY_TEAM_A","TOTAL_SCORE_BY_TEAM_A","WICKET_LOST_BY_TEAM_A","OVERS_PLAYED_BY_TEAM_B","BOWLS_PLAYED_BY_TEAM_B","EXTRA_BOWLS_PLAYED_BY_TEAM_B","EXTRA_RUNS_SCORED_BY_TEAM_B","FOURS_BY_TEAM_B","SIXES_BY_TEAM_B","TOTAL_SCORE_BY_TEAM_B","WICKET_LOST_BY_TEAM_B","TOSS_WINNER_TEAM_ID","TOSS_DECISION","MATCH_RESULT","WINNER_TEAM_ID"
617,10,41,3,3303,1,14,46,21,9,15,11,1,20,6,19,120,5,5,14,7,155,8,19,118,8,8,13,9,158,6,15,"Field","Result Declared",15
671,11,35,3,3670,1,46,20,47,17,1,21,1,20,6,19,121,4,4,12,3,127,9,17,112,7,7,8,8,128,4,1,"Field","Result Declared",1
682,11,46,3,3678,14,38,57,47,19,1,21,1,20,6,19,130,13,13,17,6,179,4,18,115,1,1,13,11,180,2,1,"Field","Result Declared",1
693,11,\\N,4,3687,7,14,30,57,19,1,39,1,20,6,19,129,9,9,12,4,139,7,19,118,5,5,13,5,140,8,1,"Field","Result Declared",1
705,12,10,3,3999,1,46,37,20,9,3,1,1,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Field","Tie",20
783,13,27,3,4560,20,62,33,10,3,11,34,1,20,6,19,125,5,5,17,1,162,4,19,122,4,4,15,6,166,5,3,"Bat","Result Declared",11
204,4,30,3,1104,1,23,31,61,4,17,12,1,20,6,19,129,13,13,13,5,160,6,19,122,18,18,17,5,161,7,17,"Field","Result Declared",17
334,6,12,3,1820,13,19,1,54,17,9,18,1,20,6,17,114,10,10,11,12,158,2,19,123,6,6,18,2,154,8,17,"Field","Result Declared",17
427,7,29,3,2211,8,25,58,19,7,1,2,1,20,6,19,125,10,10,24,13,231,4,19,123,4,4,19,4,187,6,1,"Field","Result Declared",7
456,7,\\N,1,2232,7,47,15,32,1,11,5,1,20,6,18,118,9,9,15,8,176,3,19,120,2,2,14,9,173,8,1,"Field","Result Declared",1
